Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,ticket_num,ticket_cat
0,1,male,50,1,0,106.42,C,C,17761,PC
0,1,male,64,0,0,26.0,Other,S,693,Other
1,2,female,19,1,0,26.0,Other,S,2908,Other
1,2,male,29,0,0,13.86,Other,C,2146,SCPARIS
0,3,male,33,1,1,20.52,Other,S,363291,Other
1,2,male,8,1,1,36.75,Other,S,33112,CA
1,1,male,17,0,2,110.88,C,C,17421,Other
0,2,male,27,0,0,26.0,Other,S,244358,Other
0,3,male,29,0,0,7.83,Other,Q,330979,Other
1,3,male,22,0,0,7.22,Other,C,2620,Other
1,3,female,22,0,0,7.78,Other,S,347085,Other
0,1,male,62,0,0,26.55,Other,S,113807,Other
1,1,female,48,1,0,39.6,A,C,11755,Other
1,1,female,39,1,1,79.65,E,S,110413,Other
1,3,female,36,1,0,17.4,Other,S,345572,Other
0,3,male,29,0,0,7.75,Other,Q,372622,Other
0,3,male,40,0,0,7.9,Other,S,349251,Other
0,2,male,28,0,0,13.5,Other,S,218629,Other
0,3,male,29,0,0,8.05,Other,S,392082,SOTONOQ
0,3,female,29,0,0,8.05,Other,S,392087,SOTONOQ
0,3,male,24,2,0,24.15,Other,S,48871,A4
0,3,male,19,0,0,7.9,Other,S,349205,Other
0,3,male,29,0,0,7.23,Other,C,2686,Other
1,3,male,32,0,0,7.85,Other,S,350417,Other
1,2,male,62,0,0,10.5,Other,S,752,SWPP
1,1,female,53,2,0,51.48,C,S,11769,Other
1,1,male,36,0,0,26.39,E,S,17474,PC
1,3,female,29,0,0,7.75,Other,Q,14312,Other
0,3,male,16,0,0,8.05,Other,S,20589,A4
0,3,male,19,0,0,14.5,Other,S,358585,Other
1,2,female,34,0,0,13.0,Other,S,243880,Other
1,1,female,39,1,0,55.9,E,S,13507,Other
0,3,female,29,1,0,14.46,Other,C,2689,Other
1,3,male,32,0,0,7.92,Other,S,3101286,STONO
1,2,female,25,1,1,30.0,Other,S,237789,Other
1,1,female,39,1,1,110.88,C,C,17421,Other
0,2,male,54,0,0,26.0,Other,S,28403,Other
0,1,male,36,0,0,40.12,A,C,13049,Other
0,3,male,29,0,0,8.71,Other,C,3411,Other
1,1,female,18,0,2,79.65,E,S,110413,Other
0,2,male,47,0,0,15.0,Other,S,237565,Other
1,1,male,60,1,1,79.2,B,C,13567,Other
0,3,male,22,0,0,8.05,Other,S,14973,Other
0,3,male,29,0,0,8.05,Other,S,3235,A5
0,3,male,35,0,0,7.12,Other,S,3101273,STONO
1,1,female,52,1,0,78.27,D,C,36947,Other
0,3,male,47,0,0,7.25,Other,S,3902,A5
0,3,female,29,0,2,7.75,Other,Q,364848,Other
0,2,male,37,1,0,26.0,Other,S,29037,SCAH
0,3,male,36,1,1,24.15,Other,S,345773,Other
1,2,female,29,0,0,33.0,Other,S,248727,Other
0,3,male,29,0,0,7.22,Other,C,2664,Other
1,1,male,49,1,0,56.93,A,C,17485,PC
1,2,female,24,2,1,27.0,Other,S,243847,Other
0,3,male,29,0,0,7.9,Other,S,349214,Other
0,1,male,29,0,0,42.4,Other,S,113796,Other
0,3,male,44,0,0,8.05,Other,S,364511,Other
1,1,male,35,0,0,26.55,Other,C,111426,Other
0,3,male,36,1,0,15.55,Other,S,349910,Other
0,3,male,30,0,0,7.9,Other,S,349246,Other
1,1,male,27,0,0,30.5,Other,S,113804,Other
1,2,female,22,1,2,41.58,Other,C,2123,SCParis
0,3,male,29,0,0,7.05,Other,S,3101305,SOTONOQ
1,3,female,29,1,0,15.5,Other,Q,367230,Other
0,3,male,29,0,0,7.75,Other,Q,370377,Other
0,3,male,35,0,0,8.05,Other,S,364512,Other
1,2,female,24,1,2,65.0,Other,S,220845,Other
0,3,male,34,1,1,14.4,Other,S,347080,Other
0,3,female,26,1,0,16.1,Other,S,3336,A5
1,2,female,4,2,1,39.0,F,S,230136,Other
0,2,male,26,0,0,10.5,Other,S,31028,Other
0,3,male,27,1,0,14.45,Other,C,2659,Other
1,1,male,42,1,0,52.55,D,S,11753,Other
1,3,male,20,1,1,15.74,Other,C,2653,Other
0,3,male,21,0,0,7.85,Other,S,350029,Other
0,3,male,21,0,0,16.1,Other,S,54636,Other
0,1,male,61,0,0,32.32,D,S,36963,Other
0,2,male,57,0,0,12.35,Other,Q,219533,Other
1,1,female,21,0,0,77.96,D,S,13502,Other
0,3,male,26,0,0,7.9,Other,S,349224,Other
0,3,male,29,0,0,7.73,Other,Q,334912,Other
1,1,male,80,0,0,30.0,A,S,27042,Other
0,3,male,51,0,0,7.05,Other,S,347743,Other
1,1,male,32,0,0,30.5,B,C,13214,Other
0,1,male,29,0,0,0.0,Other,S,112052,Other
0,3,female,9,3,2,27.9,Other,S,347088,Other
1,2,female,28,0,0,13.0,Other,S,237668,Other
0,3,male,32,0,0,7.92,Other,S,3101292,STONO
0,2,male,31,1,1,26.25,Other,S,31921,CA
0,3,male,29,1,0,16.1,Other,S,376564,Other
0,3,male,20,0,0,7.85,Other,S,350050,Other
1,1,female,24,0,0,69.3,B,C,17477,PC
0,3,female,2,3,2,27.9,Other,S,347088,Other
1,3,male,29,0,0,56.5,Other,S,1601,Other
1,3,female,0,2,1,19.26,Other,C,2666,Other
1,1,male,48,1,0,76.73,D,C,17572,PC
0,3,male,19,0,0,7.9,Other,S,349231,Other
1,1,male,56,0,0,35.5,A,C,13213,Other
0,3,male,29,0,0,7.55,Other,S,751,SOPP
1,3,female,23,0,0,7.55,Other,S,2314,CA
0,3,male,29,0,0,7.9,Other,S,349221,Other
1,2,female,18,0,1,23.0,Other,S,231919,Other
0,3,male,21,0,0,8.43,Other,S,8475,Other
1,3,female,29,0,0,7.83,Other,Q,330919,Other
0,3,female,18,0,0,6.75,Other,Q,365226,Other
0,2,male,24,2,0,73.5,Other,S,14879,SOC
0,3,male,29,0,0,7.9,Other,S,349223,Other
0,3,female,32,1,1,15.5,Other,Q,364849,Other
0,2,male,23,0,0,13.0,Other,S,29751,Other
0,1,male,58,0,2,113.28,D,C,35273,Other
1,1,male,50,2,0,133.65,Other,S,17611,PC
0,3,male,40,0,0,7.22,Other,C,2623,Other
0,1,male,47,0,0,25.59,E,S,5727,Other
0,3,male,36,0,0,7.5,Other,S,349210,Other
1,3,male,20,1,0,7.92,Other,S,3101285,STONO
0,2,male,32,2,0,73.5,Other,S,14879,SOC
0,2,male,25,0,0,13.0,Other,S,234686,Other
0,3,male,29,0,0,7.78,Other,S,312993,Other
0,3,male,43,0,0,8.05,Other,S,3536,A5
1,1,female,29,1,0,52.0,C,S,19996,Other
1,2,female,40,1,1,39.0,Other,S,29750,Other
0,1,male,31,1,0,52.0,B,S,12750,Other
0,2,male,70,0,0,10.5,Other,S,24580,CA
1,2,male,31,0,0,13.0,Other,S,244270,Other
0,2,male,29,0,0,0.0,Other,S,239856,Other
0,3,male,18,0,0,7.78,Other,S,349912,Other
0,3,male,24,0,0,8.05,Other,S,342826,Other
1,3,female,18,0,0,9.84,Other,S,4138,Other
0,3,female,29,0,0,8.14,Other,Q,330935,Other
1,1,male,27,0,0,76.73,D,C,17572,PC
0,3,male,20,0,0,9.22,Other,S,6563,Other
0,2,male,60,1,1,39.0,Other,S,29750,Other
0,2,male,25,1,2,41.58,Other,C,2123,SCParis
0,3,male,14,4,1,39.69,Other,S,3101295,Other
0,3,male,19,0,0,10.17,Other,S,349228,Other
0,3,male,18,0,0,7.8,Other,S,350036,Other
1,1,male,31,1,0,57.0,B,S,17474,Other
1,3,female,4,0,1,13.42,Other,C,349256,Other
1,3,male,29,0,0,56.5,Other,S,1601,Other
0,3,male,25,0,0,7.22,Other,C,2672,Other
0,1,male,60,0,0,26.55,Other,S,113800,Other
0,2,male,52,0,0,13.5,Other,S,248731,Other
0,3,male,44,0,0,8.05,Other,S,363592,Other
1,3,female,29,0,0,7.73,Other,Q,35852,Other
0,1,male,49,1,1,110.88,C,C,17421,Other
0,3,male,42,0,0,7.65,F,S,348121,Other
1,1,male,35,0,0,26.29,E,S,17475,PC
0,3,female,18,0,1,14.45,Other,C,2691,Other
0,3,male,25,0,0,7.74,Other,Q,36864,Other
0,3,male,26,1,0,7.85,Other,S,350025,Other
0,2,male,39,0,0,26.0,Other,S,250655,Other
1,2,female,45,0,0,13.5,Other,S,223596,Other
1,1,male,42,0,0,26.29,E,S,17476,PC
1,1,female,22,0,0,151.55,Other,S,113781,Other
1,3,male,29,1,1,15.25,Other,C,2661,Other
1,1,female,24,0,0,49.5,C,C,17482,PC
0,1,male,29,0,0,26.55,C,S,113028,Other
1,1,male,48,1,0,52.0,C,S,19996,Other
0,3,male,29,0,0,9.48,Other,S,7545,Other
0,2,male,52,0,0,13.0,Other,S,250647,Other
0,3,male,19,0,0,7.65,F,S,348124,Other
1,2,female,27,0,0,10.5,E,S,34218,Other
0,3,male,29,0,0,15.5,Other,Q,36568,Other
0,3,male,33,0,0,7.78,Other,S,347062,Other
1,2,female,6,0,1,33.0,Other,S,248727,Other
0,3,male,17,1,0,7.05,Other,S,350048,Other
0,2,male,34,0,0,13.0,Other,S,12233,Other
0,2,male,50,0,0,13.0,Other,S,250643,Other
1,1,male,27,1,0,53.1,E,S,113806,Other
0,3,male,20,0,0,8.66,Other,S,315094,Other
1,2,female,30,3,0,21.0,Other,S,31027,Other
1,3,female,29,0,0,7.74,Other,Q,36866,Other
0,2,male,25,1,0,26.0,Other,S,236853,Other
0,3,female,25,1,0,7.92,Other,S,3101271,STONO2
0,3,male,11,0,0,18.79,Other,C,2699,Other
0,2,male,29,0,0,0.0,Other,S,239855,Other
0,2,male,23,0,0,13.0,Other,S,28425,Other
0,2,male,23,0,0,13.0,Other,S,233639,Other
0,3,male,28,0,0,16.1,Other,S,54636,Other
0,3,male,29,0,0,7.9,Other,S,349201,Other
0,3,male,29,0,0,7.9,Other,S,349218,Other
1,1,male,29,0,0,30.0,D,S,16988,Other
0,1,male,36,1,0,78.85,C,S,19877,Other
0,3,male,24,1,0,16.1,Other,S,376566,Other
1,3,male,31,0,0,7.92,Other,S,3101288,STONO
0,1,male,70,1,1,71.0,B,S,5735,WEP
0,3,male,16,1,1,20.25,Other,S,2673,CA
1,2,female,30,0,0,13.0,Other,S,250648,Other
0,1,male,19,1,0,53.1,D,S,113773,Other
0,3,male,31,0,0,7.75,Other,Q,335097,Other
1,2,female,4,1,1,23.0,Other,S,29103,Other
1,3,male,6,0,1,12.48,E,S,392096,Other
0,3,male,33,0,0,9.5,Other,S,345780,Other
0,3,male,23,0,0,7.9,Other,S,349204,Other
1,2,female,48,1,2,65.0,Other,S,220845,Other
1,2,male,0,1,1,14.5,Other,S,250649,Other
0,3,male,28,0,0,7.8,Other,S,350042,Other
0,2,male,18,0,0,11.5,Other,S,29108,Other
0,3,male,34,0,0,8.05,Other,S,363294,Other
1,1,female,33,0,0,86.5,B,S,110152,Other
0,3,male,29,0,0,14.5,Other,S,358585,Other
0,3,male,41,0,0,7.12,Other,S,3101272,STONO2
1,3,male,20,0,0,7.23,Other,C,2663,Other
1,1,female,36,1,2,120.0,B,S,113760,Other
0,3,male,16,0,0,7.78,Other,S,347074,Other
1,1,female,51,1,0,77.96,D,S,13502,Other
0,1,male,29,0,0,39.6,Other,C,112379,Other
0,3,female,30,0,0,7.75,Other,Q,364850,Other
0,3,male,29,1,0,24.15,Other,Q,371110,Other
0,3,male,32,0,0,8.36,Other,S,8471,Other
0,3,male,24,0,0,9.5,Other,S,345781,Other
0,3,male,48,0,0,7.85,Other,S,350047,Other
0,2,female,57,0,0,10.5,E,S,3,SOPP
0,3,male,29,0,0,7.22,Other,C,2674,Other
0,3,male,18,0,0,7.75,Other,S,347078,Other
0,3,male,29,0,0,7.75,F,Q,383121,Other
1,3,female,5,0,0,12.48,Other,S,364516,Other
0,3,male,29,0,0,7.74,Other,Q,36865,Other
1,3,female,13,0,0,7.23,Other,C,2687,Other
1,1,female,17,1,0,57.0,B,S,17474,Other
0,1,male,29,0,0,30.0,D,S,113501,Other
0,3,male,29,1,2,23.45,Other,S,6607,WC
0,3,male,25,0,0,7.05,Other,S,3101312,SOTONOQ
0,3,male,25,0,0,7.25,Other,S,374887,Other
1,3,female,18,0,0,7.5,Other,S,3101265,Other
0,3,male,8,4,1,29.12,Other,Q,382652,Other
1,3,male,1,1,2,20.58,Other,S,2315,CA
0,1,male,46,0,0,79.2,B,C,17593,PC
0,3,male,29,0,0,7.75,Other,Q,12460,Other
0,2,male,16,0,0,26.0,Other,S,239865,Other
0,1,male,29,0,0,30.7,Other,C,17600,PC
0,3,male,25,0,0,7.9,Other,S,349203,Other
0,2,male,39,0,0,13.0,Other,S,28213,Other
1,1,female,49,0,0,25.93,D,S,17465,Other
1,3,female,31,0,0,8.68,Other,S,349244,Other
0,3,male,30,0,0,7.23,Other,C,2685,Other
0,3,female,30,1,1,24.15,Other,S,345773,Other
0,2,male,34,0,0,13.0,Other,S,250647,Other
1,2,female,31,1,1,26.25,Other,S,31921,CA
1,1,male,11,1,2,120.0,B,S,113760,Other
1,3,male,0,0,1,8.52,Other,C,2625,Other
1,3,male,27,0,0,6.98,Other,S,347089,Other
0,3,male,31,0,0,7.78,Other,S,347063,Other
0,1,male,39,0,0,0.0,A,S,112050,Other
0,3,female,18,0,0,7.78,Other,S,347087,Other
0,2,male,39,0,0,13.0,Other,S,248723,Other
1,1,female,33,1,0,53.1,E,S,113806,Other
0,3,male,26,0,0,7.89,Other,S,3474,Other
0,3,male,39,0,0,24.15,Other,S,48871,A4
0,2,male,35,0,0,10.5,Other,S,28206,Other
0,3,female,6,4,2,31.28,Other,S,347082,Other
0,3,male,30,0,0,8.05,Other,S,364499,Other
0,1,male,29,0,0,0.0,B,S,112058,Other
0,3,female,23,0,0,7.92,Other,S,3101290,STONO2
0,2,male,31,1,1,37.0,Other,C,2079,SCPARIS
0,3,male,43,0,0,6.45,Other,S,7075,C
0,3,male,10,3,2,27.9,Other,S,347088,Other
1,1,female,52,1,1,93.5,B,S,12749,Other
1,3,male,27,0,0,8.66,Other,S,315098,Other
0,1,male,38,0,0,0.0,Other,S,19972,Other
1,3,female,27,0,1,12.48,E,S,392096,Other
0,3,male,2,4,1,39.69,Other,S,3101295,Other
0,3,male,29,0,0,6.95,Other,Q,368323,Other
0,3,male,29,0,0,56.5,Other,S,1601,Other
1,2,male,1,0,2,37.0,Other,C,2079,SCPARIS
1,3,male,29,0,0,7.75,Other,Q,367228,Other
1,3,female,15,1,0,14.45,Other,C,2659,Other
1,2,male,0,1,1,18.75,Other,S,29106,Other
0,3,male,29,0,0,7.23,Other,C,2671,Other
0,3,male,23,0,0,7.85,Other,S,347468,Other
0,3,male,18,0,0,8.3,Other,S,2223,Other
1,1,female,39,1,1,83.16,E,C,17756,PC
0,3,male,21,0,0,8.66,Other,S,315097,Other
0,3,male,29,0,0,8.05,Other,S,392092,Other
1,3,male,32,0,0,56.5,Other,S,1601,Other
1,1,male,29,0,0,29.7,C,C,11774,Other
0,3,male,20,0,0,7.92,Other,S,3101287,STONO2
0,2,male,16,0,0,10.5,Other,S,3,SOPP
1,1,female,30,0,0,31.0,Other,C,113798,Other
0,3,male,34,0,0,6.44,Other,C,2683,Other
0,3,male,17,0,0,8.66,Other,S,315090,Other
0,3,male,42,0,0,7.55,Other,S,5547,CA
0,3,male,35,0,0,7.9,Other,C,349213,Other
0,2,male,28,0,1,33.0,Other,S,248727,Other
1,1,female,29,1,0,89.1,C,C,17453,Other
0,3,male,4,4,2,31.28,Other,S,347082,Other
0,3,male,74,0,0,7.78,Other,S,347060,Other
0,3,female,9,1,1,15.25,Other,C,2678,Other
1,1,female,16,0,1,39.4,D,S,17592,PC
0,2,female,44,1,0,26.0,Other,S,244252,Other
1,3,female,18,0,1,9.35,Other,S,392091,Other
1,1,male,51,0,0,26.55,E,S,113055,Other
0,3,male,29,0,0,7.23,Other,C,2629,Other
0,3,male,41,2,0,14.11,Other,S,350026,Other
0,2,male,21,1,0,11.5,Other,S,28134,Other
1,1,female,48,0,0,25.93,D,S,17466,Other
0,2,male,24,0,0,13.0,Other,S,233866,Other
1,2,female,42,0,0,13.0,Other,S,236852,Other
1,2,female,27,1,0,13.86,Other,C,2149,SCPARIS
0,1,male,31,0,0,50.5,A,S,17590,PC
0,3,male,29,0,0,9.5,Other,S,345777,Other
1,3,male,4,1,1,11.13,Other,S,347742,Other
0,3,male,26,0,0,7.9,Other,S,349248,Other
1,1,female,47,1,1,52.55,D,S,11751,Other
0,1,male,33,0,0,5.0,B,S,695,Other
0,3,male,47,0,0,9.0,Other,S,345765,Other
1,2,female,28,1,0,24.0,Other,C,3381,PPP
1,3,female,15,0,0,7.22,Other,C,2667,Other
0,3,male,20,0,0,9.85,Other,S,7534,Other
0,3,male,19,0,0,7.9,Other,S,349212,Other
0,3,male,29,0,0,7.9,Other,S,349217,Other
1,1,female,56,0,1,83.16,C,C,11767,Other
1,2,female,25,0,1,26.0,Other,S,230433,Other
0,3,male,33,0,0,7.9,Other,S,349257,Other
0,3,female,22,0,0,10.52,Other,S,7552,Other
0,2,male,28,0,0,10.5,Other,S,34068,Other
0,3,male,25,0,0,7.05,Other,S,392076,SOTONOQ
0,2,male,27,0,0,13.0,Other,S,211536,Other
1,1,female,19,0,0,30.0,B,S,112053,Other
0,3,female,29,1,2,23.45,Other,S,6607,WC
1,1,male,26,0,0,30.0,C,C,111369,Other
0,3,male,32,0,0,7.75,Other,Q,370376,Other
