name,company,year,Price,kms_driven,fuel_type
Indigo CS,Tata,2016,110000,85000,Diesel
Duster 110,Renault,2013,490000,38600,Diesel
Scorpio LX,Mahindra,2009,320000,95500,Diesel
Suzuki Zen,Maruti,2004,68000,56000,Petrol
Suzuki Wagon,Maruti,2014,130000,37458,Petrol
Eon D,Hyundai,2018,280000,35000,Petrol
Suzuki Zen,Maruti,2009,125000,0,Petrol
Scorpio SLX,Mahindra,2008,285000,80000,Diesel
Santro AE,Hyundai,2011,165000,45000,Petrol
Suzuki Swift,Maruti,2009,250000,51000,Diesel
Xylo D2,Mahindra,2011,390000,48000,Diesel
Santro,Hyundai,2003,60000,51000,Petrol
Beat LT,Chevrolet,2015,215000,90000,Diesel
Suzuki Swift,Maruti,2015,475000,43000,Diesel
Suzuki Alto,Maruti,2013,240000,20000,Petrol
Getz GLE,Hyundai,2007,99000,55000,Petrol
Suzuki Swift,Maruti,2014,260000,105997.5,Diesel
Santro Xing,Hyundai,2007,115000,46000,Petrol
Santro Xing,Hyundai,2009,88000,43200,Petrol
Xylo D2,Mahindra,2011,390000,56000,Diesel
Santro Xing,Hyundai,2007,135000,42000,Petrol
Indica V2,Tata,2009,90000,30600,Diesel
i10 Sportz,Hyundai,2011,220000,38000,Petrol
Grand i10,Hyundai,2017,424999,2550,Petrol
Santro Xing,Hyundai,2007,135000,47000,Petrol
City 1.5,Honda,2005,95000,41000,Petrol
Micra XL,Nissan,2017,430000,62500,Diesel
City 1.5,Honda,2005,115000,68000,Petrol
Suzuki Alto,Maruti,2015,215000,50000,Petrol
Suzuki Wagon,Maruti,2004,53000,69000,Petrol
Suzuki Ertiga,Maruti,2012,500000,48000,Diesel
Indica eV2,Tata,2012,85000,55000,Diesel
Suzuki Omni,Maruti,2013,165000,25000,Petrol
Eon Era,Hyundai,2014,200000,28400,Petrol
Eon,Hyundai,2014,200000,28000,Petrol
Suzuki Swift,Maruti,2015,425000,42000,Diesel
Verna 1.6,Hyundai,2012,600000,29000,Diesel
Tavera LS,Chevrolet,2005,130000,68485,Diesel
Tiago Revotron,Tata,2018,430000,3500,Petrol
Tiago Revotorq,Tata,2019,568500,0,Petrol
Suzuki Zen,Maruti,2006,71000,32000,Petrol
KUV100 K8,Mahindra,2018,560000,8000,Diesel
EcoSport Titanium,Ford,2014,590000,34000,Diesel
Motors Ambassador,Hindustan,1995,750000,37000,Petrol
Fusion 1.4,Ford,2007,125000,85455,Diesel
Santro Xing,Hyundai,2007,135000,46000,Petrol
Santro,Hyundai,2002,60000,47000,Petrol
Linea Emotion,Fiat,2009,120000,64000,Petrol
Ikon 1.3,Ford,2008,95000,46000,Petrol
Suzuki Omni,Maruti,2017,240000,8000,Petrol
Indica V2,Tata,2012,115000,64000,Diesel
Santro Xing,Hyundai,2007,55000,65000,Petrol
Xylo D2,Mahindra,2009,300000,62000,Diesel
Grand i10,Hyundai,2014,320000,41000,Petrol
Suzuki Alto,Maruti,2015,265000,14000,Petrol
Corolla,Toyota,2006,160000,40000,Petrol
Eon Magna,Hyundai,2017,300000,1600,Petrol
Sumo Grande,Tata,2010,130000,90000,Diesel
Suzuki Swift,Maruti,2011,250000,58000,Diesel
Polo Highline1.2L,Volkswagen,2013,380000,27000,Petrol
Suzuki Alto,Maruti,2003,42000,60000,Petrol
Tiago Revotron,Tata,2017,400000,31000,Petrol
Suzuki Swift,Maruti,2009,120000,90000,Diesel
Indigo eCS,Tata,2016,130000,105997.5,Diesel
Beat LS,Chevrolet,2014,189000,31000,Diesel
Xylo E8,Mahindra,2011,365000,43000,Diesel
Eon D,Hyundai,2013,170000,20000,Petrol
Sumo Gold,Tata,2013,215000,100000,Petrol
Nano,Tata,2013,60000,7000,Petrol
Elite i20,Hyundai,2017,599999,31000,Petrol
i10 Magna,Hyundai,2009,400000,33000,Petrol
Polo,Volkswagen,2013,299999,48000,Diesel
Suzuki Dzire,Maruti,2014,374999,33000,Petrol
Bolt XM,Tata,2015,600000,15000,Petrol
Suzuki Alto,Maruti,2005,70000,47000,Petrol
Suzuki Alto,Maruti,2005,100000,40000,Petrol
Suzuki Ritz,Maruti,2010,150000,38000,Diesel
Suzuki Alto,Maruti,2017,225000,12500,Petrol
Suzuki Dzire,Maruti,2009,210000,42000,Petrol
i20 Asta,Hyundai,2014,425000,31000,Petrol
Suzuki Swift,Maruti,2008,162000,60000,Diesel
Indica V2,Tata,2005,60000,80000,Diesel
Scorpio VLX,Mahindra,2014,650000,77000,Diesel
Innova 2.5,Toyota,2012,750000,75000,Diesel
Xylo E8,Mahindra,2010,375000,40000,Diesel
i20 Magna,Hyundai,2011,230000,47000,Petrol
Suzuki Omni,Maruti,2000,35999,60000,Petrol
KUV100,Mahindra,2016,380000,26500,Petrol
KUV100 K8,Mahindra,2019,560000,2875,Petrol
Go Plus,Datsun,2016,285000,13900,Petrol
Indica V2,Tata,2005,39999,80000,Diesel
Santro Xing,Hyundai,2006,85000,60000,Petrol
Suzuki Wagon,Maruti,2016,395000,20000,Petrol
Suzuki Swift,Maruti,2008,175000,58000,Diesel
Suzuki Alto,Maruti,2019,400000,1500,Petrol
Innova 2.5,Toyota,2011,750000,75000,Diesel
Suzuki Alto,Maruti,2016,250000,2450,Petrol
Suzuki Alto,Maruti,2019,425000,1625,Petrol
Polo Highline1.2L,Volkswagen,2017,525000,45000,Petrol
Logan,Mahindra,2009,130000,65000,Diesel
Suzuki 800,Maruti,2000,30000,33400,Petrol
Scorpio,Mahindra,2011,475000,60123,Diesel
Sail 1.2,Chevrolet,2013,300000,28000,Petrol
Santro AE,Hyundai,2003,60000,70000,Petrol
Suzuki Wagon,Maruti,2006,100000,7000,Petrol
Eon,Hyundai,2018,260000,25000,Petrol
Manza,Tata,2015,100000,100000,Diesel
Etios G,Toyota,2013,265000,42000,Petrol
Qualis,Toyota,2003,180000,100000,Diesel
Santro Xing,Hyundai,2004,45000,105997.5,Petrol
Indica eV2,Tata,2016,50500,91200,Diesel
City 1.5,Honda,2009,270000,55000,Petrol
Zest XE,Tata,2017,290000,105997.5,Diesel
Quanto C4,Mahindra,2013,325000,63000,Diesel
Indigo eCS,Tata,2016,160000,104000,Diesel
Suzuki Swift,Maruti,2016,350000,105997.5,Diesel
Elite i20,Hyundai,2011,290000,40000,Petrol
i20 Select,Hyundai,2011,290000,40000,Petrol
Tavera Neo,Chevrolet,2007,465000,100800,Diesel
Suzuki Dzire,Maruti,2016,325000,105997.5,Diesel
Elite i20,Hyundai,2018,510000,2100,Petrol
Suzuki Dzire,Maruti,2016,450000,2500,Diesel
Getz,Hyundai,2006,125000,80000,Petrol
Benz C,Mercedes,2006,500001,15000,Petrol
Suzuki Alto,Maruti,2005,95000,65000,Petrol
Fabia,Skoda,2009,110000,45000,Petrol
Suzuki Ritz,Maruti,2011,270000,50000,Petrol
Indica V2,Tata,2009,110000,30000,Diesel
Corolla Altis,Toyota,2009,300000,105997.5,Petrol
Zest XM,Tata,2018,260000,27000,Diesel
Quanto C8,Mahindra,2013,390000,40000,Diesel
